Id;X  [mm];Y  [mm];Z  [mm];U(95)  [mm];U(95) X  [mm];U(95) Y  [mm];U(95) Z  [mm];Tilt  [deg];Q0 ;Q1 ;Q2 ;Q3 ;Image RMS  [�m];Target;Temperature  [�C];Pressure  [mBar];Humidity  [%];Time Stamp;OTG Applied;Delete;
64;2349,14097988773;818,644971912764;-511,613301637539;0;0;0;0;7,14336258101204;0,575644200360959;0,578725917909742;-0,409660778526959;-0,407293644766284;0,358173035108189;TMC 30-M #5836 - Touch-Trigger Tip 0070-TouchTrigger - Face 3;21,6625652313232;988,325988769531;32,5999984741211;'04.04.2024 11:54:26.353;False;;
65;2200,9463338109;675,225502172906;-512,795992520492;0;0;0;0;8,09261821022784;0,575702855005397;0,57881805430937;-0,409475091793052;-0,407266536736351;0,368005809904081;TMC 30-M #5836 - Touch-Trigger Tip 0070-TouchTrigger - Face 3;21,6625652313232;988,325988769531;32,5999984741211;'04.04.2024 11:54:39.251;False;;
66;2252,71963828602;714,944090771153;-512,432959453857;0;0;0;0;7,73990298489277;0,575640629714042;0,578723033474741;-0,409615037975702;-0,407348789874695;0,357790942975833;TMC 30-M #5836 - Touch-Trigger Tip 0070-TouchTrigger - Face 3;21,6625652313232;988,325988769531;32,5999984741211;'04.04.2024 11:54:45.127;False;;
67;2292,45738062274;766,827792236723;-512,040437774028;0;0;0;0;7,41442560977542;0,575648961780735;0,578783321458994;-0,409605662536095;-0,407260777414206;0,336352849620985;TMC 30-M #5836 - Touch-Trigger Tip 0070-TouchTrigger - Face 3;21,5532207489014;988,325988769531;32,5999984741211;'04.04.2024 11:54:50.959;False;;
69;2317,33869663708;827,082185987113;-511,662243712143;0;0;0;0;7,21982510399709;0,575677333461763;0,578703153763304;-0,409675281096211;-0,407264572018609;0,339553874078696;TMC 30-M #5836 - Touch-Trigger Tip 0070-TouchTrigger - Face 3;21,5532207489014;988,325988769531;32,5999984741211;'04.04.2024 11:54:56.687;False;;
70;2325,94470563157;891,725929584842;-511,354298856309;0;0;0;0;7,30116547009212;0,575724574412792;0,578618922532649;-0,409804653145458;-0,407187307224446;0,32233439965479;TMC 30-M #5836 - Touch-Trigger Tip 0070-TouchTrigger - Face 3;21,5532207489014;988,325988769531;32,5999984741211;'04.04.2024 11:55:02.314;False;;
72;2317,32359332478;956,623341234408;-511,125445321341;0;0;0;0;7,71674211462784;0,575654090509581;0,578701537251678;-0,409714964654329;-0,407259802338058;0,318490407579551;TMC 30-M #5836 - Touch-Trigger Tip 0070-TouchTrigger - Face 3;21,5532207489014;988,325988769531;32,5999984741211;'04.04.2024 11:55:07.815;False;;
73;2292,52881955665;1016,62790117931;-510,956364209231;0;0;0;0;8,42618507798843;0,575812750650525;0,578561173911563;-0,409891764175286;-0,407056981136084;0,340690737965879;TMC 30-M #5836 - Touch-Trigger Tip 0070-TouchTrigger - Face 3;21,5532207489014;988,325988769531;32,5999984741211;'04.04.2024 11:55:13.136;False;;
74;2252,72925362387;1068,34737644745;-510,894463344421;0;0;0;0;9,34883749789247;0,575842564239476;0,578551127437437;-0,409954951146917;-0,406965443472913;0,340761193826916;TMC 30-M #5836 - Touch-Trigger Tip 0070-TouchTrigger - Face 3;21,5532207489014;988,325988769531;32,5999984741211;'04.04.2024 11:55:18.257;False;;
75;2201,04049456384;1107,90889279092;-510,936300675104;0;0;0;0;10,3460548203427;0,575924313146266;0,578501923952702;-0,410017272708264;-0,406856910462267;0,361256435343335;TMC 30-M #5836 - Touch-Trigger Tip 0070-TouchTrigger - Face 3;21,5532207489014;988,325988769531;32,5999984741211;'04.04.2024 11:55:23.213;False;;
76;2140,64202704178;1133,17185611523;-511,091599831447;0;0;0;0;11,3144582600206;0,575856484203383;0,578613983691125;-0,409880551706634;-0,406931321982802;0,344784967413848;TMC 30-M #5836 - Touch-Trigger Tip 0070-TouchTrigger - Face 3;21,5532207489014;988,325988769531;32,5999984741211;'04.04.2024 11:55:28.021;False;;
78;2075,84534884844;1141,71445166455;-511,344103397703;0;0;0;0;12,151228649093;0,57579177701845;0,578592111493866;-0,409882558990945;-0,407051944928457;0,34058795178121;TMC 30-M #5836 - Touch-Trigger Tip 0070-TouchTrigger - Face 3;21,5532207489014;988,325988769531;32,5999984741211;'04.04.2024 11:55:32.755;False;;
79;2011,37781613004;1132,86602977769;-511,635111611566;0;0;0;0;12,7548309859019;0,575854448404378;0,578514317605898;-0,410125359699697;-0,406829236792375;0,369235628079407;TMC 30-M #5836 - Touch-Trigger Tip 0070-TouchTrigger - Face 3;21,5532207489014;988,325988769531;32,5999984741211;'04.04.2024 11:55:37.387;False;;
80;1950,98824187709;1107,84967366317;-511,961532527163;0;0;0;0;13,0529834677934;0,575847445604596;0,578563790428913;-0,41008016185253;-0,406814356494696;0,325994059211217;TMC 30-M #5836 - Touch-Trigger Tip 0070-TouchTrigger - Face 3;21,5532207489014;988,325988769531;32,5999984741211;'04.04.2024 11:55:41.955;False;;
